Venue,Division,Season,Month,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,Paul Upfold,First,ERDENECHIMEG Dondov,1,39,LOST,100,58,43,97,101,0,94,4,0,2,0,0,0
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,ERDENECHIMEG Dondov,Second,Paul Upfold,1,38,WON,24,41,21,28,26,60,81,40,78,28,32,26,16
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,Paul Upfold,Second,ERDENECHIMEG Dondov,2,23,WON,100,41,140,50,85,45,20,20,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,ERDENECHIMEG Dondov,First,Paul Upfold,2,24,LOST,22,35,21,66,22,25,24,43,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,Paul Upfold,First,ERDENECHIMEG Dondov,3,22,WON,122,44,100,92,92,0,31,20,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,ERDENECHIMEG Dondov,Second,Paul Upfold,3,21,LOST,26,45,58,41,37,81,43,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,Paul Upfold,Second,ERDENECHIMEG Dondov,4,25,WON,30,28,95,80,134,44,26,48,16,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NkkR16j1vrEr,ERDENECHIMEG Dondov,First,Paul Upfold,4,27,LOST,81,125,9,22,140,56,36,0,16,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Steve Henry,Second,Tergel Khurelkhuu,1,15,LOST,43,85,100,81,58,,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Tergel Khurelkhuu,First,Steve Henry,1,18,WON,125,97,140,59,60,20,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Steve Henry,First,Tergel Khurelkhuu,2,17,WON,137,42,120,98,68,36,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Tergel Khurelkhuu,Second,Steve Henry,2,15,LOST,100,100,140,137,12,,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Steve Henry,Second,Tergel Khurelkhuu,3,18,LOST,43,66,137,25,58,96,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Tergel Khurelkhuu,First,Steve Henry,3,20,WON,43,100,68,60,41,177,12,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Steve Henry,First,Tergel Khurelkhuu,4,21,LOST,93,26,59,45,60,82,45,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/NrDroUTaoDaL,Tergel Khurelkhuu,Second,Steve Henry,4,21,WON,43,60,140,43,70,65,80,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Charlie Green,First,Paul Upfold,1,19,WON,180,30,60,95,85,41,10,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Paul Upfold,Second,Charlie Green,1,18,LOST,70,99,60,60,30,21,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Charlie Green,Second,Paul Upfold,2,21,LOST,77,45,60,60,38,47,134,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Paul Upfold,First,Charlie Green,2,23,WON,45,100,100,25,85,40,66,40,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Charlie Green,First,Paul Upfold,3,23,WON,85,99,85,140,72,16,0,4,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Paul Upfold,Second,Charlie Green,3,21,LOST,94,25,100,100,41,45,28,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Charlie Green,Second,Paul Upfold,4,24,WON,58,100,60,95,58,40,65,25,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/HvuEZDIxl82I,Paul Upfold,First,Charlie Green,4,24,LOST,70,27,100,22,96,41,100,35,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,ERDENECHIMEG Dondov,Second,Steve Henry,1,27,LOST,6,41,43,22,9,55,39,39,13,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,Steve Henry,First,ERDENECHIMEG Dondov,1,29,WON,140,41,60,30,45,30,57,70,20,8,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,ERDENECHIMEG Dondov,First,Steve Henry,2,33,WON,43,5,39,81,68,58,40,139,14,10,4,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,Steve Henry,Second,ERDENECHIMEG Dondov,2,30,LOST,59,9,45,60,42,59,57,9,93,15,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,ERDENECHIMEG Dondov,Second,Steve Henry,3,24,LOST,26,41,42,45,48,83,60,80,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,Steve Henry,First,ERDENECHIMEG Dondov,3,26,WON,40,81,45,30,48,56,79,96,26,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,ERDENECHIMEG Dondov,First,Steve Henry,4,21,LOST,79,54,81,45,45,43,42,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/kQJX3uirjMn3,Steve Henry,Second,ERDENECHIMEG Dondov,4,20,WON,86,23,100,100,52,100,40,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Tergel Khurelkhuu,First,Charlie Green,1,21,WON,60,60,100,60,81,100,40,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Charlie Green,Second,Tergel Khurelkhuu,1,18,LOST,95,90,85,46,65,81,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Tergel Khurelkhuu,Second,Charlie Green,2,17,WON,100,100,60,98,102,41,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Charlie Green,First,Tergel Khurelkhuu,2,18,LOST,125,85,60,96,47,36,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Tergel Khurelkhuu,First,Charlie Green,3,20,WON,43,100,81,119,42,76,40,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/FmPVeRCVhEhL,Charlie Green,Second,Tergel Khurelkhuu,3,18,LOST,119,58,60,95,28,64,,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Paul Upfold,First,Steve Henry,1,22,WON,81,100,63,60,45,82,30,40,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Steve Henry,Second,Paul Upfold,1,21,LOST,80,40,30,40,60,41,78,,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Paul Upfold,Second,Steve Henry,2,24,WON,100,70,82,36,139,53,0,21,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Steve Henry,First,Paul Upfold,2,24,LOST,43,7,79,95,95,41,27,71,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Paul Upfold,First,Steve Henry,3,24,LOST,48,80,100,40,43,30,60,60,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Steve Henry,Second,Paul Upfold,3,23,WON,57,95,55,55,95,56,31,57,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Paul Upfold,Second,Steve Henry,4,24,LOST,42,78,41,43,100,24,97,68,,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Steve Henry,First,Paul Upfold,4,27,WON,95,53,92,95,53,73,8,28,4,,,,
Wood Green,,,23/03/2025,Group 1,https://www.dartsatlas.com/matches/dk75AVKRearg,Paul Upfold,First,Steve Henry,5,17,WON,100,139,44,101,57,60,,,,,,,
