Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,First,John Nelson,1,15,LOST,100,95,99,59,51,,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,Second,Edgar Znutins,1,14,WON,100,100,180,96,25,,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,Second,John Nelson,2,21,LOST,60,100,26,98,60,45,96,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,First,Edgar Znutins,2,24,WON,58,125,96,58,60,38,42,24,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,First,John Nelson,3,20,WON,77,78,43,58,136,77,32,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,Second,Edgar Znutins,3,18,LOST,60,45,134,92,98,32,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,Second,John Nelson,4,15,LOST,55,60,59,60,97,,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,First,Edgar Znutins,4,18,WON,96,100,100,27,81,97,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,First,John Nelson,5,15,LOST,9,47,100,24,140,,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,Second,Edgar Znutins,5,15,WON,123,134,80,116,48,,,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,Second,John Nelson,6,21,LOST,60,95,95,22,23,30,60,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,First,Edgar Znutins,6,22,WON,99,100,99,45,96,0,42,20,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,Edgar Znutins,First,John Nelson,7,21,LOST,60,100,41,30,60,60,39,,,,,,
Ruislip,,,09/08/2025,Final,https://www.dartsatlas.com/matches/0roMxgm8G8Xq,John Nelson,Second,Edgar Znutins,7,20,WON,96,140,58,59,56,43,49,,,,,,
Ruislip,,,09/08/2025,Semi-Final,https://www.dartsatlas.com/matches/rFv3rgrbwIYp,Edgar Znutins,Second,Nick Holman,1,22,WON,85,45,100,101,44,80,32,14,,,,,
Ruislip,,,09/08/2025,Semi-Final,https://www.dartsatlas.com/matches/rFv3rgrbwIYp,Nick Holman,First,Edgar Znutins,1,24,LOST,82,140,60,49,60,72,22,14,,,,,
